0,1,2,3,4,5,6,7,8,9,10
photo/film,domestic eggs,cocoa drinks,,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
pork,brown bread,,,,,,,,,
berries,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
butter,seasonal products,,,,,,,,,
ice cream,newspapers,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
other vegetables,instant coffee,instant coffee,hygiene articles,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
soda,candy,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
mustard,fruit/vegetable juice,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
newspapers,salty snack,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
dessert,bottled water,,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
soda,beverages,,,,,,,,,
tropical fruit,whole milk,dog food,,,,,,,,
baking powder,liqueur,,,,,,,,,
yogurt,waffles,,,,,,,,,
chicken,white bread,,,,,,,,,
sausage,sausage,frozen vegetables,pastry,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
hard cheese,white wine,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
whole milk,root vegetables,newspapers,,,,,,,,
herbs,cereals,,,,,,,,,
soda,brown bread,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
sausage,fruit/vegetable juice,salt,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar,,
fruit/vegetable juice,dental care,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
cat food,pip fruit,white bread,,,,,,,,
hygiene articles,skin care,,,,,,,,,
sausage,other vegetables,,,,,,,,,
photo/film,root vegetables,newspapers,,,,,,,,
yogurt,pasta,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
rolls/buns,domestic eggs,,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
hamburger meat,soda,,,,,,,,,
chicken,rolls/buns,other vegetables,margarine,,,,,,,
canned beer,yogurt,curd cheese,pastry,,,,,,,
turkey,root vegetables,other vegetables,berries,salty snack,,,,,,
yogurt,coffee,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
fish,chicken,chicken,UHT-milk,other vegetables,cream cheese ,hard cheese,,,,
pip fruit,whipped/sour cream,,,,,,,,,
beef,canned beer,margarine,,,,,,,,
cream cheese ,long life bakery product,pastry,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
canned beer,root vegetables,hard cheese,specialty cheese,,,,,,,
whole milk,butter,,,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
chicken,dessert,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
liquor,long life bakery product,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
curd,zwieback,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
domestic eggs,softener,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
pastry,bottled beer,,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
oil,coffee,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
sausage,ice cream,,,,,,,,,
rolls/buns,rubbing alcohol,pastry,,,,,,,,
canned beer,rolls/buns,baking powder,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
other vegetables,grapes,,,,,,,,,
onions,canned beer,flower (seeds),,,,,,,,
rolls/buns,white bread,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
semi-finished bread,waffles,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
napkins,cleaner,,,,,,,,,
processed cheese,salty snack,,,,,,,,,
bottled beer,rolls/buns,other vegetables,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
frankfurter,syrup,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
chicken,bottled beer,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
other vegetables,photo/film,newspapers,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
pork,hamburger meat,whole milk,whole milk,fruit/vegetable juice,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
ham,meat,,,,,,,,,
meat,margarine,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
sausage,soda,,,,,,,,,
condensed milk,pastry,,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pastry,whole milk,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
ice cream,oil,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
sugar,frozen fish,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
curd,newspapers,,,,,,,,,
berries,frozen vegetables,,,,,,,,,
sparkling wine,liquor,detergent,,,,,,,,
roll products ,dishes,,,,,,,,,
tropical fruit,canned beer,detergent,bottled water,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
dessert,dental care,,,,,,,,,
mayonnaise,pet care,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
pip fruit,newspapers,root vegetables,,,,,,,,
pork,brown bread,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
beef,butter,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
ham,berries,,,,,,,,,
soda,sugar,,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,canned fish,,,,,,,,,
butter,rolls/buns,,,,,,,,,
pet care,dog food,,,,,,,,,
meat,bottled water,soda,,,,,,,,
soda,bottled beer,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
soda,soft cheese,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
sausage,chewing gum,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
pip fruit,coffee,,,,,,,,,
canned beer,salty snack,,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
yogurt,coffee,,,,,,,,,
pork,whole milk,,,,,,,,,
berries,whole milk,,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
pip fruit,soda,,,,,,,,,
pip fruit,coffee,whole milk,pastry,seasonal products,,,,,,
sausage,soda,pastry,flower (seeds),newspapers,,,,,,
hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
whole milk,chocolate,pickled vegetables,,,,,,,,
bottled water,dishes,,,,,,,,,
white bread,salty snack,,,,,,,,,
sweet spreads,coffee,,,,,,,,,
grapes,other vegetables,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
soda,grapes,,,,,,,,,
other vegetables,coffee,,,,,,,,,
pork,finished products,citrus fruit,misc. beverages,,,,,,,
frozen chicken,dessert,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,oil,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whole milk,pastry,,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
pork,root vegetables,,,,,,,,,
margarine,bathroom cleaner,,,,,,,,,
tea,coffee,,,,,,,,,
sausage,spread cheese,,,,,,,,,
yogurt,tea,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
chicken,margarine,yogurt,,,,,,,,
soda,yogurt,whole milk,coffee,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pip fruit,white wine,whole milk,,,,,,,,
pork,canned beer,,,,,,,,,
pork,root vegetables,,,,,,,,,
cream cheese ,female sanitary products,,,,,,,,,
oil,fruit/vegetable juice,,,,,,,,,
sausage,soda,,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
berries,brown bread,,,,,,,,,
brown bread,waffles,,,,,,,,,
soda,soda,,,,,,,,,
chicken,shopping bags,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
root vegetables,frozen fish,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
UHT-milk,fish,,,,,,,,,
curd,pastry,,,,,,,,,
brown bread,packaged fruit/vegetables,,,,,,,,,
beverages,butter milk,,,,,,,,,
tropical fruit,berries,chocolate,,,,,,,,
soda,canned fish,,,,,,,,,
butter milk,whole milk,,,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
citrus fruit,grapes,,,,,,,,,
sausage,processed cheese,baking powder,specialty cheese,,,,,,,
citrus fruit,white bread,processed cheese,,,,,,,,
sausage,detergent,bottled beer,,,,,,,,
other vegetables,canned beer,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,whole milk,instant coffee,bottled water,,,,,,,
whole milk,other vegetables,,,,,,,,,
pork,cookware,root vegetables,canned beer,whole milk,bottled water,oil,whole milk,,,
sausage,hair spray,canned beer,,,,,,,,
citrus fruit,mustard,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
whole milk,yogurt,domestic eggs,newspapers,,,,,,,
rolls/buns,yogurt,napkins,yogurt,candy,sliced cheese,,,,,
coffee,tropical fruit,,,,,,,,,
chicken,vinegar,,,,,,,,,
curd,beef,napkins,,,,,,,,
citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
chicken,vinegar,,,,,,,,,
candles,canned fish,oil,,,,,,,,
ice cream,pork,,,,,,,,,
spread cheese,newspapers,,,,,,,,,
beef,domestic eggs,,,,,,,,,
zwieback,rice,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beef,berries,,,,,,,,,
cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
dessert,house keeping products,,,,,,,,,
coffee,butter milk,,,,,,,,,
cream cheese ,yogurt,bottled beer,bottled beer,,,,,,,
butter milk,bottled beer,zwieback,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
UHT-milk,brown bread,whole milk,ice cream,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
root vegetables,butter,,,,,,,,,
tidbits,other vegetables,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
specialty cheese,onions,,,,,,,,,
butter,pastry,,,,,,,,,
packaged fruit/vegetables,chewing gum,ham,condensed milk,soda,,,,,,
pip fruit,pasta,,,,,,,,,
other vegetables,waffles,butter,,,,,,,,
canned beer,yogurt,,,,,,,,,
bottled water,whole milk,,,,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
other vegetables,specialty bar,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
beverages,yogurt,,,,,,,,,
pork,other vegetables,yogurt,white bread,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
pork,UHT-milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
newspapers,newspapers,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
ham,canned beer,salty snack,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
whole milk,turkey,long life bakery product,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
root vegetables,misc. beverages,other vegetables,,,,,,,,
salty snack,sugar,,,,,,,,,
onions,oil,,,,,,,,,
butter,waffles,,,,,,,,,
flour,ready soups,,,,,,,,,
dog food,chewing gum,coffee,,,,,,,,
white bread,butter,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
pork,ice cream,,,,,,,,,
salty snack,white wine,,,,,,,,,
pork,liquor,long life bakery product,,,,,,,,
yogurt,bottled beer,sugar,,,,,,,,
grapes,waffles,soda,,,,,,,,
herbs,soft cheese,,,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
sausage,flower (seeds),,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
soda,newspapers,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
pork,pip fruit,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
pork,cereals,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
potato products,other vegetables,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
other vegetables,baking powder,,,,,,,,,
soda,other vegetables,other vegetables,soda,,,,,,,
canned beer,cake bar,newspapers,pastry,baking powder,yogurt,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,butter,,,,,,,,,
hamburger meat,popcorn,,,,,,,,,
hygiene articles,pastry,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
ketchup,whole milk,,,,,,,,,
pork,beverages,brown bread,Instant food products,margarine,,,,,,
margarine,rolls/buns,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
frozen meals,bottled water,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
soda,hard cheese,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
dishes,onions,canned beer,,,,,,,,
beverages,red/blush wine,,,,,,,,,
onions,specialty bar,,,,,,,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
beef,frozen dessert,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
bottled beer,ice cream,pastry,red/blush wine,,,,,,,
whole milk,coffee,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
soap,brown bread,,,,,,,,,
other vegetables,brown bread,hard cheese,salty snack,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
tropical fruit,pickled vegetables,bottled beer,,,,,,,,
other vegetables,waffles,,,,,,,,,
liquor,cream,coffee,,,,,,,,
other vegetables,seasonal products,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
newspapers,soups,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
coffee,shopping bags,,,,,,,,,
bottled water,detergent,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
bottled water,domestic eggs,,,,,,,,,
soda,domestic eggs,,,,,,,,,
turkey,shopping bags,,,,,,,,,
whole milk,beef,,,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
tea,light bulbs,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
soda,semi-finished bread,,,,,,,,,
rolls/buns,pip fruit,margarine,,,,,,,,
canned beer,tropical fruit,newspapers,,,,,,,,
citrus fruit,pastry,,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
pip fruit,other vegetables,flour,,,,,,,,
root vegetables,whipped/sour cream,frozen potato products,sugar,,,,,,,
whole milk,domestic eggs,,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
meat,ice cream,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
tropical fruit,tropical fruit,mayonnaise,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
hard cheese,bottled water,specialty fat,,,,,,,,
other vegetables,yogurt,,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
meat,processed cheese,root vegetables,cat food,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,soda,,,,,,,,,
hard cheese,shopping bags,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
meat,hamburger meat,,,,,,,,,
cleaner,other vegetables,,,,,,,,,
chicken,salty snack,coffee,,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
citrus fruit,bottled water,pastry,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
tropical fruit,nuts/prunes,,,,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
pot plants,yogurt,other vegetables,,,,,,,,
sausage,tropical fruit,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
finished products,domestic eggs,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
hard cheese,bottled beer,whole milk,liquor (appetizer),,,,,,,
onions,bottled beer,,,,,,,,,
condensed milk,pastry,,,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
beef,cream cheese ,,,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
potato products,oil,,,,,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
berries,soap,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
dish cleaner,fruit/vegetable juice,,,,,,,,,
ice cream,bottled beer,,,,,,,,,
citrus fruit,whole milk,frozen vegetables,,,,,,,,
soda,long life bakery product,,,,,,,,,
make up remover,shopping bags,,,,,,,,,
ham,pork,soda,,,,,,,,
berries,other vegetables,,,,,,,,,
dishes,bottled water,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
whipped/sour cream,beef,,,,,,,,,
soda,snack products,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
canned beer,beef,whole milk,coffee,,,,,,,
misc. beverages,rice,soda,,,,,,,,
pastry,specialty chocolate,,,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
beef,other vegetables,,,,,,,,,
hard cheese,butter,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
coffee,misc. beverages,,,,,,,,,
soda,misc. beverages,,,,,,,,,
chicken,waffles,,,,,,,,,
bottled water,rolls/buns,popcorn,,,,,,,,
root vegetables,soda,,,,,,,,,
canned beer,yogurt,,,,,,,,,
yogurt,salty snack,,,,,,,,,
soda,shopping bags,,,,,,,,,
bathroom cleaner,beverages,,,,,,,,,
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes,,,,,,
chicken,pastry,candles,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,whole milk,napkins,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
liquor,vinegar,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
butter,butter,margarine,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
frankfurter,napkins,,,,,,,,,
meat,other vegetables,,,,,,,,,
whole milk,soda,soda,,,,,,,,
onions,flour,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
hamburger meat,tropical fruit,cat food,whole milk,artif. sweetener,packaged fruit/vegetables,,,,,
whole milk,bottled beer,,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
whipped/sour cream,baking powder,cat food,,,,,,,,
rolls/buns,pork,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
butter,whole milk,,,,,,,,,
butter,beef,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
soda,abrasive cleaner,seasonal products,,,,,,,,
chicken,curd,,,,,,,,,
frozen potato products,frozen vegetables,,,,,,,,,
shopping bags,sausage,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,sliced cheese,dish cleaner,,,,,,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,butter,,,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
pork,whole milk,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
specialty fat,brandy,,,,,,,,,
soda,roll products ,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
berries,white bread,,,,,,,,,
dessert,napkins,,,,,,,,,
berries,root vegetables,,,,,,,,,
dessert,butter milk,,,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
misc. beverages,bottled beer,other vegetables,cream cheese ,,,,,,,
tropical fruit,onions,,,,,,,,,
photo/film,grapes,,,,,,,,,
beef,tropical fruit,root vegetables,whole milk,cream cheese ,newspapers,,,,,
rolls/buns,specialty bar,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
herbs,brown bread,,,,,,,,,
margarine,sweet spreads,,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
hamburger meat,salty snack,,,,,,,,,
canned beer,dishes,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
brown bread,yogurt,,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
dessert,yogurt,,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
meat,other vegetables,canned beer,,,,,,,,
hygiene articles,dessert,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
sausage,candy,,,,,,,,,
ham,pork,pork,soda,,,,,,,
rolls/buns,canned beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,citrus fruit,margarine,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
processed cheese,waffles,,,,,,,,,
zwieback,soda,curd,,,,,,,,
root vegetables,other vegetables,frozen vegetables,,,,,,,,
